thisN,thisTrialN,thisRepN,probe_size_dg,correct_key,illusion_response.keys,illusion_response.corr,illusion_response.rt,illusion_response.duration,key_resp.keys,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction_text.started,instruction_key.started,instructions.stopped,instructions_loop.instruction_key.keys,instructions_loop.instruction_key.rt,instructions_loop.instruction_key.duration,illusion.started,probe_disk.started,target_disk.started,outer_disk_12.started,outer_disk_3.started,outer_disk_6.started,outer_disk_9.started,outer_disk_130.started,outer_disk_430.started,outer_disk_730.started,outer_disk_1030.started,illusion_response.started,fixation_cross.started,illusion.stopped,trials.illusion_response.keys,trials.illusion_response.corr,trials.illusion_response.rt,trials.illusion_response.duration,iti.started,key_resp.started,key_resp.stopped,iti.stopped,trials.key_resp.keys,end.started,end_text.started,end_text.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1.4,s,s,1,1.7962289999995846,None,None,3,0,3,0,0,0,0,4,8.98984309998923,,4.676468299992848,4.6898330000112765,4.6898330000112765,8.973522699991008,space,4.27257189998636,None,8.977894700015895,8.98984309998923,8.98984309998923,8.98984309998923,8.98984309998923,8.98984309998923,8.98984309998923,8.98984309998923,8.98984309998923,8.98984309998923,8.98984309998923,8.98984309998923,8.98984309998923,10.790291600016644,s,1,1.7962289999995846,None,10.79033220000565,10.806581400014693,11.3064263999986,11.289998599997489,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
1,1,0,1.8,l,l,1,0.9520507999986876,None,None,,,,,0,1,1,7,11.3064263999986,,,,,,,,,11.290735999995377,11.3064263999986,11.3064263999986,11.3064263999986,11.3064263999986,11.3064263999986,11.3064263999986,11.3064263999986,11.3064263999986,11.3064263999986,11.3064263999986,11.3064263999986,11.3064263999986,12.273547899996629,l,1,0.9520507999986876,None,12.273587000003317,12.289795299991965,12.78975039999932,12.773461100005079,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
2,2,0,2.0,l,l,1,0.7962777999928221,None,None,,,,,0,2,2,9,12.78975039999932,,,,,,,,,12.774225900007877,12.78975039999932,12.78975039999932,12.78975039999932,12.78975039999932,12.78975039999932,12.78975039999932,12.78975039999932,12.78975039999932,12.78975039999932,12.78975039999932,12.78975039999932,12.78975039999932,13.59020179999061,l,1,0.7962777999928221,None,13.59024310001405,13.606556100014132,14.106410200009122,14.089941999991424,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
3,3,0,1.2,s,s,1,0.7119364999816753,None,None,,,,,0,3,3,2,14.106410200009122,,,,,,,,,14.090710899996338,14.106410200009122,14.106410200009122,14.106410200009122,14.106410200009122,14.106410200009122,14.106410200009122,14.106410200009122,14.106410200009122,14.106410200009122,14.106410200009122,14.106410200009122,14.106410200009122,14.823537899996154,s,1,0.7119364999816753,None,14.823575799993705,14.839872100012144,15.339817400003085,15.323299100011354,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
4,4,0,1.6,l,s,0,1.1424728000129107,None,None,,,,,0,4,4,5,15.339817400003085,,,,,,,,,15.32404239999596,15.339817400003085,15.339817400003085,15.339817400003085,15.339817400003085,15.339817400003085,15.339817400003085,15.339817400003085,15.339817400003085,15.339817400003085,15.339817400003085,15.339817400003085,15.339817400003085,16.490306699997745,s,0,1.1424728000129107,None,16.49034750001738,16.50647970000864,17.006569299992407,16.98996810000972,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
5,5,0,1.7,l,l,1,1.3323306000092998,None,None,,,,,0,5,5,6,17.006569299992407,,,,,,,,,16.99074219999602,17.006569299992407,17.006569299992407,17.006569299992407,17.006569299992407,17.006569299992407,17.006569299992407,17.006569299992407,17.006569299992407,17.006569299992407,17.006569299992407,17.006569299992407,17.006569299992407,18.340213999996195,l,1,1.3323306000092998,None,18.340254500013543,18.356496599997627,18.85642039999948,18.83998360001715,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
6,6,0,1.9,l,l,1,0.8905579000129364,None,None,,,,,0,6,6,8,18.85642039999948,,,,,,,,,18.840756399993552,18.85642039999948,18.85642039999948,18.85642039999948,18.85642039999948,18.85642039999948,18.85642039999948,18.85642039999948,18.85642039999948,18.85642039999948,18.85642039999948,18.85642039999948,18.85642039999948,19.756944799999474,l,1,0.8905579000129364,None,19.75698310000007,19.773084599990398,20.27302980000968,20.256732200010447,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
7,7,0,1.0,s,s,1,0.8339081000012811,None,None,,,,,0,7,7,0,20.27302980000968,,,,,,,,,20.25749300001189,20.27302980000968,20.27302980000968,20.27302980000968,20.27302980000968,20.27302980000968,20.27302980000968,20.27302980000968,20.27302980000968,20.27302980000968,20.27302980000968,20.27302980000968,20.27302980000968,21.1235144000093,s,1,0.8339081000012811,None,21.12355360001675,21.139826099999482,21.639770000008866,21.623261300002923,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
8,8,0,1.1,s,s,1,0.5071114999882411,None,None,,,,,0,8,8,1,21.639770000008866,,,,,,,,,21.624021299998276,21.639770000008866,21.639770000008866,21.639770000008866,21.639770000008866,21.639770000008866,21.639770000008866,21.639770000008866,21.639770000008866,21.639770000008866,21.639770000008866,21.639770000008866,21.639770000008866,22.156918900000164,s,1,0.5071114999882411,None,22.156960599997547,22.173074099991936,22.673094099998707,22.656708299997263,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
9,9,0,1.3,s,s,1,0.8971069999970496,None,None,,,,,0,9,9,3,22.673094099998707,,,,,,,,,22.6574862000125,22.673094099998707,22.673094099998707,22.673094099998707,22.673094099998707,22.673094099998707,22.673094099998707,22.673094099998707,22.673094099998707,22.673094099998707,22.673094099998707,22.673094099998707,22.673094099998707,23.573682100017322,s,1,0.8971069999970496,None,23.57372439999017,23.589867100003175,24.089808599994285,24.073231199989095,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
10,0,1,1.3,s,s,1,0.6968894000165164,None,None,,,,,1,0,10,3,24.089808599994285,,,,,,,,,24.073989500000607,24.089808599994285,24.089808599994285,24.089808599994285,24.089808599994285,24.089808599994285,24.089808599994285,24.089808599994285,24.089808599994285,24.089808599994285,24.089808599994285,24.089808599994285,24.089808599994285,24.790453599998727,s,1,0.6968894000165164,None,24.79049370001303,24.8127564000024,25.313090300012846,25.290122800011886,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
11,1,1,1.9,l,l,1,0.6568619000026956,None,None,,,,,1,1,11,8,25.313090300012846,,,,,,,,,25.290872200013837,25.313090300012846,25.313090300012846,25.313090300012846,25.313090300012846,25.313090300012846,25.313090300012846,25.313090300012846,25.313090300012846,25.313090300012846,25.313090300012846,25.313090300012846,25.313090300012846,25.97386810000171,l,1,0.6568619000026956,None,25.973939799994696,25.989912499993807,26.4897220999992,26.473315400013234,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
12,2,1,1.4,s,s,1,0.5363101999973878,None,None,,,,,1,2,12,4,26.4897220999992,,,,,,,,,26.474119099992095,26.4897220999992,26.4897220999992,26.4897220999992,26.4897220999992,26.4897220999992,26.4897220999992,26.4897220999992,26.4897220999992,26.4897220999992,26.4897220999992,26.4897220999992,26.4897220999992,27.02958580001723,s,1,0.5363101999973878,None,27.029633700003615,27.046020500012673,27.539667000004556,27.523181299999123,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
13,3,1,2.0,l,l,1,0.5427883999946062,None,None,,,,,1,3,13,9,27.539667000004556,,,,,,,,,27.523921899992274,27.539667000004556,27.539667000004556,27.539667000004556,27.539667000004556,27.539667000004556,27.539667000004556,27.539667000004556,27.539667000004556,27.539667000004556,27.539667000004556,27.539667000004556,27.539667000004556,28.090190299990354,l,1,0.5427883999946062,None,28.090230800007703,28.106325300002936,28.606446299992967,28.58984380000038,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
14,4,1,1.0,s,s,1,0.7081125999975484,None,None,,,,,1,4,14,0,28.606446299992967,,,,,,,,,28.59061089999159,28.606446299992967,28.606446299992967,28.606446299992967,28.606446299992967,28.606446299992967,28.606446299992967,28.606446299992967,28.606446299992967,28.606446299992967,28.606446299992967,28.606446299992967,28.606446299992967,29.323391600017203,s,1,0.7081125999975484,None,29.323431900003925,29.339708799991058,29.839735100016696,29.823119800013956,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
15,5,1,1.2,s,s,1,0.9786662999831606,None,None,,,,,1,5,15,2,29.839735100016696,,,,,,,,,29.82387980000931,29.839735100016696,29.839735100016696,29.839735100016696,29.839735100016696,29.839735100016696,29.839735100016696,29.839735100016696,29.839735100016696,29.839735100016696,29.839735100016696,29.839735100016696,29.839735100016696,30.8235263999959,s,1,0.9786662999831606,None,30.823568899999373,30.83969699998852,31.339710800006287,31.32323899999028,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
16,6,1,1.6,l,l,1,1.3020649999962188,None,None,,,,,1,6,16,5,31.339710800006287,,,,,,,,,31.324031600001035,31.339710800006287,31.339710800006287,31.339710800006287,31.339710800006287,31.339710800006287,31.339710800006287,31.339710800006287,31.339710800006287,31.339710800006287,31.339710800006287,31.339710800006287,31.339710800006287,32.656681099993875,l,1,1.3020649999962188,None,32.656721000006655,32.67296150000766,33.17300430001342,33.156500999990385,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
17,7,1,1.8,l,l,1,0.7167290000070352,None,None,,,,,1,7,17,7,33.17300430001342,,,,,,,,,33.157270399999106,33.17300430001342,33.17300430001342,33.17300430001342,33.17300430001342,33.17300430001342,33.17300430001342,33.17300430001342,33.17300430001342,33.17300430001342,33.17300430001342,33.17300430001342,33.17300430001342,33.890332500013756,l,1,0.7167290000070352,None,33.89037209999515,33.90637350000907,34.40645810001297,34.38987240000279,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
18,8,1,1.1,s,s,1,0.5563582000031602,None,None,,,,,1,8,18,1,34.40645810001297,,,,,,,,,34.39060939999763,34.40645810001297,34.40645810001297,34.40645810001297,34.40645810001297,34.40645810001297,34.40645810001297,34.40645810001297,34.40645810001297,34.40645810001297,34.40645810001297,34.40645810001297,34.40645810001297,34.97391400000197,s,1,0.5563582000031602,None,34.97395780001534,34.98965339999995,35.48959969999851,35.47309949999908,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
19,9,1,1.7,l,l,1,1.2493651999975555,None,None,,,,,1,9,19,6,35.48959969999851,,,,,,,,,35.47387250000611,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,35.48959969999851,36.74014670000179,l,1,1.2493651999975555,None,36.740186500013806,36.756420799996704,37.25633860001108,37.239835999993375,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
20,0,2,1.6,l,l,1,1.4664896999893244,None,None,,,,,2,0,20,5,37.25633860001108,,,,,,,,,37.24058690000675,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,37.25633860001108,38.723604700004216,l,1,1.4664896999893244,None,38.723644699988654,38.739592199999606,39.239705699990736,39.223065099999076,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
21,1,2,1.0,s,s,1,0.41050149998045526,None,None,,,,,2,1,21,0,39.239705699990736,,,,,,,,,39.2238243999891,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.239705699990736,39.65672440000344,s,1,0.41050149998045526,None,39.65676710000844,39.67291510000359,40.172907900006976,40.15642640000442,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
22,2,2,1.9,l,l,1,1.7019094999996014,None,None,,,,,2,2,22,8,40.172907900006976,,,,,,,,,40.157172300008824,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,40.172907900006976,41.89018550000037,l,1,1.7019094999996014,None,41.890225000010105,41.90638940001372,42.40622480001184,42.38974310000776,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
23,3,2,1.7,l,l,1,1.1796445000218228,None,None,,,,,2,3,23,6,42.40622480001184,,,,,,,,,42.39048550001462,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,42.40622480001184,43.59002969998983,l,1,1.1796445000218228,None,43.590069500001846,43.60621669999091,44.10627809999278,44.089818000007654,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
24,4,2,1.4,s,s,1,1.3682609000243247,None,None,,,,,2,4,24,4,44.10627809999278,,,,,,,,,44.09054770000512,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,44.10627809999278,45.48994610001682,s,1,1.3682609000243247,None,45.48998750001192,45.50621710001724,46.00625549998949,45.98987210000632,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
25,5,2,1.2,s,s,1,0.9722415000142064,None,None,,,,,2,5,25,2,46.00625549998949,,,,,,,,,45.99070260001463,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.00625549998949,46.99017740000272,s,1,0.9722415000142064,None,46.99021960000391,47.006242800009204,47.52290720000747,47.50653459999012,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
26,6,2,1.8,l,l,1,1.1034615999960806,None,None,,,,,2,6,26,7,47.52290720000747,,,,,,,,,47.50730009999825,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,47.52290720000747,48.63998840001295,l,1,1.1034615999960806,None,48.64003209999646,48.65624750001007,49.156235400005244,49.13970450000488,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
27,7,2,1.1,s,s,1,1.630164500005776,None,None,,,,,2,7,27,1,49.156235400005244,,,,,,,,,49.14048729999922,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,49.156235400005244,50.79013060001307,s,1,1.630164500005776,None,50.79017359999125,50.80626949999714,51.30621060001431,51.28982370000449,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
28,8,2,1.3,s,s,1,1.3518428999814205,None,None,,,,,2,8,28,3,51.30621060001431,,,,,,,,,51.29057770001236,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,51.30621060001431,52.67328230000567,s,1,1.3518428999814205,None,52.673324500006856,52.68954700001632,53.18949280001107,53.17297449999023,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
29,9,2,2.0,l,l,1,0.5089014999975916,None,None,,,,,2,9,29,9,53.18949280001107,,,,,,,,,53.17373909999151,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.18949280001107,53.706832199997734,l,1,0.5089014999975916,None,53.70687270001508,53.72297649999382,54.22287130000768,54.20644219999667,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
30,0,3,1.9,l,l,1,0.6911723999946844,None,None,,,,,3,0,30,8,54.22287130000768,,,,,,,,,54.20719260000624,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.22287130000768,54.9235086000117,l,1,0.6911723999946844,None,54.92354809999233,54.939632900001016,55.43965770001523,55.42305499999202,None,,,,,test,001,2025-03-26_08h07.29.253,ebbinghaus_illusion,2024.2.4,60.56803121992012,2025-03-26 08h07.39.146910 +1300,
